ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
Deceptikons,14,Deceptikons|DeathStalker,Finance,Switzerland|China|Israel|UAE|Russia|Jordan|Argentina|Taiwan|Cyprus|UK|Lebanon|India|Turkey,0
TAG-53,38,,,,0
Group 27,601,,,,0
Ghostwriter,668,DEV-0257|PUSHCHA|TA445|Storm-0257|UNC1151,Public Administration|Energy & Utilities |National Security&International Affairs|Transportation&Warehousing|Banking|Finance|CryptoCurrency & NFT,"Belarus|China|Russian Federation|Lithuania|Malaysia|Portugal|New Zealand|Germany|Serbia|Korea, Democratic People's Republic of|Korea, Republic of|Poland|Latvia|Ukraine|France",679
BOSS SPIDER,279,CTG-0007|Boss Spider|Gold Lowell,Educational Services|HealthCare & Social Assistance|Public Administration,,0
Rampant Kitten,631,Rampant Kitten|RampantKitten,,"Iranian minorities, anti-regime organizations and resistance movements",0
VICEROY TIGER,79,Chinastrats|Orange Kala|MONSOON|OperationHangover|ZincEmerson|ThirstyGemini|MahaGrass|Thirsty Gemini|ZINC EMERSON|G0040|OperationHangOver|ViceroyTiger|Orange Athos|SectorE02|Monsoon|Patchwork|OrangeAthos|Neon|APT-C-09|DonotTeam|ATK11|Dropping Elephant|QuiltedTiger|TG-4410|OPERATION HANGOVER|APT-C-35|OrangeKala|OPERATIONHANGOVER|Donot Team|OranngeAthos|CapricornOrganisation|ZINCEMERSON|Sarit|DroppingElephant,Other|Public Administration|National Security&International Affairs,China|Russia|Argentina|Uruguay|Indonesia|Malaysia|Middle East and Southeast Asia|Germany|Myanmar|Taiwan|Philippines|Africa and Far East|France|Romania|Israel|Jordan|Sri Lanka|Oman|Cambodia|Australia|Togo|Poland|United States|UAE|Iran|Pakistan|UK|Panama|Kuwait|India|South Korea|Austria|Nepal|Japan|Thailand|Bangladesh|Norway|Afghanistan|USA|Singapore|Canada,2329
Nightshade Panda,438,Nightshade Panda|FlowerLady|FlowerShow|APT 9|Group 27,Energy & Utilities |Public Administration,Europe|USA|Thailand|Myanmar,0
Sandman,173,Sandman,Telecommunications,"Middle East, Western Europe, and South Asia",0
Operation Sharpshooter,481,,,,0
Nomad Panda,720,,,,0
CL-STA-0043,19,,,,0
Sath-ı Müdafaa,202,,,,0
Malteiro,700,,,,0
ProjectSauron,498,ProjectSauron|Strider,Finance|Public Administration|Telecommunications|National Security&International Affairs,Russia|China|Iran|Rwanda|Sweden|Belgium,1573
Storm Cloud,325,,,,0
Callisto Group,41,Callisto Group|CallistoGroup,Public Administration|Publishing Services|National Security&International Affairs,Europe and the South Caucasus,0
Corkow,467,Metel|Corkow,Finance,Russia|Kazakhstan|Argentina|Mexico|Germany|Cyprus|Turkey|France|Switzerland|Poland|Latvia|Brazil|Denmark|Belarus|Croatia|UK|Italy|Ukraine|Austria|Estonia|Thailand|USA|Peru|Singapore|Spain,0
LofyGang,178,,,,0
Operation Triangulation,84,Operation Triangulation,,,0
ScamClub,48,,,,605
GOLD CABIN,361,Shakthak|G0127|TA551|ATK236|Monster Libra|MonsterLibra,,,1353
Harvester,103,Harvester,Public Administration|Telecommunications,Afghanistan|South Asia,0
DragonSpark,199,DragonSpark,,,0
FIN10,429,FIN10,Mining,USA|Canada,30
Solntsepek,512,,,,0
TempTick,349,,Other|Public Administration,Japan|South Korea,0
Saad Tycoon,280,,,,0
BAMBOO SPIDER,711,,,,0
SCARLETEEL,243,,,,0
Anonymous Sudan,371,,,Sudan|Sweden|Germany|France|Netherlands|Denmark,235
TERBIUM,638,Terbium,,Middle East,0
ShroudedSnooper,323,ShroudedSnooper,Telecommunications,Middle East,0
UNC4736,85,,,,0
TA2725,115,,,,0
Cyber Caliphate Army,669,United Cyber Caliphate|CyberCaliphate|CCA|IslamicStateHackingDivision|UUC|UnitedCyberCaliphate|Islamic State Hacking Division,,,0
Fox Kitten,736,Lemon Sandstorm|Fox Kitten|Parisite|UNC757|Rubidium|Pioneer Kitten|Cobalt Foxglove,Air Transportation|Manufacturing|Public Administration|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Telecommunications|Retail|Finance|HealthCare & Social Assistance,UAE|Israel|Finland|Australia|Malaysia|Lebanon|USA|Germany|France|Hungary|Kuwait|Saudi Arabia|Poland|Italy|Austria,0
[Unnamed groups: Russia],431,[Unnamedgroups:Russia]|[Unnamed groups: Russia],Finance,USA|Singapore|Australia|Worldwide,0
Operation SignSight,181,Operation SignSight|OperationSignSight,,Vietnam,0
EmpireMonkey,537,EmpireMonkey|Anthropoid Spider|CobaltGoblin,Finance,Malta|Worldwide,0
GreyEnergy,455,,,,9
GALLIUM,54,Red Dev 4|Alloy Taurus|Granite Typhoon|RedDev4|PhantomPanda|Gallium|GraniteTyphoon|Phantom Panda|AlloyTaurus,Finance|Public Administration|Telecommunications,,210
DragonForce Malaysia,686,DragonForceMalaysia,,India,0
UNC1549,388,,,,0
SHARK SPIDER,281,,,,0
BRONZE SPIRAL,268,,,,0
ZooPark,253,Cobalt Juno|ZooPark|APT-C-38|TG-2884|Saber Lion,,Jordan|Iran|Iraq|Egypt|Morocco|Kuwait|Kurdistan|Lebanon,1392
Blackwood,583,Blackwood,Manufacturing,China|Japan|UK,20
